4 1 1 || 06 || 06 || 1
3 d 1 || 11 || 11 || 1
5 2 1 || 08 || 08 || 1
d 6 1 || 14 || 14 || 1
d c 1 || 1a || 1a || 1
6 5 0 || 0b || 0b || 1
5 7 0 || 0c || 0c || 1
f 2 0 || 11 || 11 || 1
8 5 0 || 0d || 0d || 1
d d 1 || 1b || 1b || 1
3 a 0 || 0d || 0d || 1
0 a 1 || 0b || 0b || 1
6 3 1 || 0a || 0a || 1
3 b 1 || 0f || 0f || 1
2 e 1 || 11 || 11 || 1
f 3 0 || 12 || 12 || 1
a c 0 || 16 || 16 || 1
a 1 0 || 0b || 0b || 1
8 9 1 || 12 || 12 || 1
6 6 0 || 0c || 0c || 1
c a 1 || 17 || 17 || 1
1 5 1 || 07 || 07 || 1
b a 0 || 15 || 15 || 1
5 1 1 || 07 || 07 || 1
2 c 1 || 0f || 0f || 1
f 8 1 || 18 || 18 || 1
f c 1 || 1c || 1c || 1
9 9 0 || 12 || 12 || 1
7 1 0 || 08 || 08 || 1
c 2 0 || 0e || 0e || 1
7 d 0 || 14 || 14 || 1
e d 1 || 1c || 1c || 1
f 3 1 || 13 || 13 || 1
8 b 1 || 14 || 14 || 1
f a 0 || 19 || 19 || 1
6 e 0 || 14 || 14 || 1
a 6 1 || 11 || 11 || 1
3 f 1 || 13 || 13 || 1
f 4 1 || 14 || 14 || 1
b 6 0 || 11 || 11 || 1
9 d 0 || 16 || 16 || 1
5 5 1 || 0b || 0b || 1
9 4 0 || 0d || 0d || 1
a b 0 || 15 || 15 || 1
c a 1 || 17 || 17 || 1
3 6 0 || 09 || 09 || 1
7 a 0 || 11 || 11 || 1
8 9 0 || 11 || 11 || 1
4 3 0 || 07 || 07 || 1
